# textdomain: moarmour


### armor.lua ###

Amethyst Boots=
Amethyst Chestplate=
Amethyst Helmet=
Amethyst Leggings=
Amethyst Shield=
Brick Boots=
Brick Chestplate=
Brick Helmet=
Brick Leggings=
Brick Shield=
Candycane Boots=
Candycane Chestplate=
Candycane Helmet=
Candycane Leggings=
Candycane Shield=
Carbonfiber Boots=
Carbonfiber Chestplate=
Carbonfiber Helmet=
Carbonfiber Leggings=
Carbonfiber Shield=
Chocolate Boots=
Chocolate Chestplate=
Chocolate Helmet=
Chocolate Leggings=
Chocolate Shield=
Coreglass Boots=
Coreglass Chestplate=
Coreglass Helmet=
Coreglass Leggings=
Coreglass Shield=
Emerald Boots=
Emerald Chestplate=
Emerald Helmet=
Emerald Leggings=
Emerald Shield=
Emeralds Boots=
Emeralds Chestplate=
Emeralds Helmet=
Emeralds Leggings=
Emeralds Shield=
Hero Mese Boots=
Hero Mese Chestplate=
Hero Mese Helmet=
Hero Mese Leggings=
Hero Mese Shield=
Ibrog Boots=
Ibrog Chestplate=
Ibrog Helmet=
Ibrog Leggings=
Ibrog Shield=
Obsidian Boots=
Obsidian Chestplate=
Obsidian Helmet=
Obsidian Leggings=
Obsidian Shield=
Pearl Boots=
Pearl Chestplate=
Pearl Helmet=
Pearl Leggings=
Pearl Shield=
Rainbow Boots=
Rainbow Chestplate=
Rainbow Helmet=
Rainbow Leggings=
Rainbow Shield=
Rhodochrosite Boots=
Rhodochrosite Chestplate=
Rhodochrosite Helmet=
Rhodochrosite Leggings=
Rhodochrosite Shield=
Ruby Boots=
Ruby Chestplate=
Ruby Helmet=
Ruby Leggings=
Ruby Shield=
Sapphire Boots=
Sapphire Chestplate=
Sapphire Helmet=
Sapphire Leggings=
Sapphire Shield=
Shadow Boots=
Shadow Chestplate=
Shadow Helmet=
Shadow Leggings=
Shadow Shield=
Silver Boots=
Silver Chestplate=
Silver Helmet=
Silver Leggings=
Silver Shield=
Skeletal Boots=
Skeletal Chestplate=
Skeletal Helmet=
Skeletal Leggings=
Skeletal Shield=
Sky Boots=
Sky Chestplate=
Sky Helmet=
Sky Leggings=
Sky Shield=
Tac Nayn Boots=
Tac Nayn Chestplate=
Tac Nayn Helmet=
Tac Nayn Leggings=
Tac Nayn Shield=
Teruchalcum Boots=
Teruchalcum Chestplate=
Teruchalcum Helmet=
Teruchalcum Leggings=
Teruchalcum Shield=
Terucopper Boots=
Terucopper Chestplate=
Terucopper Helmet=
Terucopper Leggings=
Terucopper Shield=
Terugold Boots=
Terugold Chestplate=
Terugold Helmet=
Terugold Leggings=
Terugold Shield=
Terusteel Boots=
Terusteel Chestplate=
Terusteel Helmet=
Terusteel Leggings=
Terusteel Shield=
Tin Boots=
Tin Chestplate=
Tin Helmet=
Tin Leggings=
Tin Shield=
Waffle Boots=
Waffle Chestplate=
Waffle Helmet=
Waffle Leggings=
Waffle Shield=

### crafts.lua ###

Bone Pile=
Bone Plate=

### nodes.lua ###

Ibrog=
Waffle Block=
